SettlementPoint,Year,Month,AveragePrice
HB_WEST,2019,10,24.668131720430107
HB_WEST,2019,11,21.66026388888889
HB_WEST,2019,12,18.136424731182796
LZ_AEN,2016,01,19.324663978494623
LZ_AEN,2016,02,15.448290229885057
LZ_AEN,2016,03,16.85507402422611
LZ_AEN,2016,04,18.256069444444446
LZ_AEN,2016,05,18.124905913978495
LZ_AEN,2016,06,24.237513888888888
LZ_AEN,2016,07,27.976102150537635
LZ_AEN,2016,08,30.699516129032258
LZ_AEN,2016,09,26.71086111111111
LZ_AEN,2016,10,25.62290322580645
LZ_AEN,2016,11,19.640041666666665
LZ_AEN,2016,12,25.870174731182797
LZ_AEN,2017,01,23.404475806451615
LZ_AEN,2017,02,20.60532738095238
LZ_AEN,2017,03,22.99701211305518
LZ_AEN,2017,04,24.118083333333335
LZ_AEN,2017,05,25.293844086021505
LZ_AEN,2017,06,27.91663888888889
LZ_AEN,2017,07,31.40143817204301
LZ_AEN,2017,08,27.465618279569892
LZ_AEN,2017,09,24.628805555555555
LZ_AEN,2017,10,24.019905913978494
LZ_AEN,2017,11,23.019444444444446
LZ_AEN,2017,12,21.06293010752688
LZ_AEN,2018,01,38.83798387096774
LZ_AEN,2018,02,21.91388392857143
LZ_AEN,2018,03,22.202826379542397
LZ_AEN,2018,04,22.18848611111111
LZ_AEN,2018,05,33.16616935483871
LZ_AEN,2018,06,30.286125
LZ_AEN,2018,07,78.95137096774194
LZ_AEN,2018,08,31.732137096774192
LZ_AEN,2018,09,27.167305555555554
LZ_AEN,2018,10,30.31
LZ_AEN,2018,11,30.468083333333333
LZ_AEN,2018,12,30.094758064516128
LZ_AEN,2019,01,25.107956989247313
LZ_AEN,2019,02,21.513809523809524
LZ_AEN,2019,03,27.742180349932706
LZ_AEN,2019,04,23.270347222222224
LZ_AEN,2019,05,24.676236559139785
LZ_AEN,2019,06,24.41679166666667
LZ_AEN,2019,07,29.709086021505374
LZ_AEN,2019,08,126.52692204301076
LZ_AEN,2019,09,80.16959722222222
LZ_AEN,2019,10,29.280443548387098
LZ_AEN,2019,11,24.40801388888889
LZ_AEN,2019,12,19.05170698924731
LZ_CPS,2016,01,19.353844086021507
LZ_CPS,2016,02,15.520014367816092
LZ_CPS,2016,03,16.898183041722746
LZ_CPS,2016,04,19.06936111111111
LZ_CPS,2016,05,18.47986559139785
LZ_CPS,2016,06,24.958069444444444
LZ_CPS,2016,07,27.967956989247313
LZ_CPS,2016,08,31.306572580645163
LZ_CPS,2016,09,28.13025
LZ_CPS,2016,10,26.25029569892473
LZ_CPS,2016,11,21.714666666666666
LZ_CPS,2016,12,26.596424731182797
LZ_CPS,2017,01,23.772567204301076
LZ_CPS,2017,02,20.919479166666665
LZ_CPS,2017,03,23.861547779273216
LZ_CPS,2017,04,25.337902777777778
LZ_CPS,2017,05,26.53702956989247
LZ_CPS,2017,06,30.416
LZ_CPS,2017,07,32.11529569892473
LZ_CPS,2017,08,28.137567204301074
LZ_CPS,2017,09,25.136652777777776
LZ_CPS,2017,10,25.27595430107527
LZ_CPS,2017,11,23.572569444444444
LZ_CPS,2017,12,22.048373655913977
LZ_CPS,2018,01,41.31287634408602
LZ_CPS,2018,02,22.51739583333333
LZ_CPS,2018,03,25.289273216689097
LZ_CPS,2018,04,26.535375
LZ_CPS,2018,05,36.05559139784946
LZ_CPS,2018,06,30.72727777777778
LZ_CPS,2018,07,79.12443548387097
LZ_CPS,2018,08,31.86568548387097
LZ_CPS,2018,09,27.51298611111111
LZ_CPS,2018,10,31.635967741935485
LZ_CPS,2018,11,32.04120833333333
LZ_CPS,2018,12,30.309220430107526
LZ_CPS,2019,01,26.798333333333332
LZ_CPS,2019,02,24.110119047619047
LZ_CPS,2019,03,29.351695827725436
LZ_CPS,2019,04,25.36359722222222
LZ_CPS,2019,05,26.246075268817204
LZ_CPS,2019,06,26.391291666666667
LZ_CPS,2019,07,30.66717741935484
LZ_CPS,2019,08,127.69620967741936
LZ_CPS,2019,09,82.43634722222222
LZ_CPS,2019,10,33.553602150537635
LZ_CPS,2019,11,25.57513888888889
LZ_CPS,2019,12,19.997862903225805
LZ_HOUSTON,2016,01,19.56393817204301
LZ_HOUSTON,2016,02,15.487988505747126
LZ_HOUSTON,2016,03,17.206729475100943
LZ_HOUSTON,2016,04,19.128930555555556
LZ_HOUSTON,2016,05,19.90399193548387
